"sample_id","trt","pos_y","parameter","quantity"
"bx01","b",1,"nitrate_H2O",28.81
"bx01","b",1,"phosphorus_H2O",5.53
"bx01","b",1,"potassium_H2O",13.32
"bx01","b",1,"calcium_H2O",53.73
"bx01","b",1,"magnesium_H2O",7.62
"bx01","b",1,"iron_H2O",6.418
"bx01","b",1,"phosphorus_AAE",28
"bx01","b",1,"potassium_AAE",58.45
"bx01","b",1,"magnesium_AAE",87.5
"bx01","b",1,"manganese_AAE",189
"bx01","b",1,"boron_AAE",0.1
"bx01","b",1,"copper_AAE",3.9
"bx01","b",1,"iron_AAE",186
"bx01","b",1,"iron_HNO3",12338.56
"bx02","b",3,"pH",6.66
"bx02","b",3,"phosphorus_CO2",16.3
"bx02","b",3,"potassium_CO2",1.7
"bx02","b",3,"magnesium_CO2",7.1
"bx02","b",3,"nitrate_H2O",34.31
"bx02","b",3,"phosphorus_H2O",8.49
"bx02","b",3,"potassium_H2O",17.27
"bx02","b",3,"calcium_H2O",75.02
"bx02","b",3,"magnesium_H2O",8.29
"bx02","b",3,"iron_H2O",5.601
"bx02","b",3,"phosphorus_AAE",51.86
"bx02","b",3,"potassium_AAE",83.59
"bx02","b",3,"magnesium_AAE",88.7
"bx02","b",3,"manganese_AAE",226
"bx02","b",3,"boron_AAE",0.2
"bx02","b",3,"copper_AAE",4.5
"bx02","b",3,"iron_AAE",209
"bx02","b",3,"iron_HNO3",NA
"bx03","b",5,"pH",7.1
"bx03","b",5,"phosphorus_CO2",18.6
"bx03","b",5,"potassium_CO2",1.9
"bx03","b",5,"magnesium_CO2",6.3
"bx03","b",5,"nitrate_H2O",36.08
"bx03","b",5,"phosphorus_H2O",9.44
"bx03","b",5,"potassium_H2O",19.82
"bx03","b",5,"calcium_H2O",79.8
"bx03","b",5,"magnesium_H2O",8.26
"bx03","b",5,"iron_H2O",8.289
"bx03","b",5,"phosphorus_AAE",63.59
"bx03","b",5,"potassium_AAE",86.17
"bx03","b",5,"magnesium_AAE",89.65
"bx03","b",5,"manganese_AAE",265
"bx03","b",5,"boron_AAE",0.1
"bx03","b",5,"copper_AAE",4.5
"bx03","b",5,"iron_AAE",241
"bx03","b",5,"iron_HNO3",13730.17
"bx04","b",7,"pH",6.85
"bx04","b",7,"phosphorus_CO2",6.9
"bx04","b",7,"potassium_CO2",1
"bx04","b",7,"magnesium_CO2",5.6
"bx04","b",7,"nitrate_H2O",30.11
"bx04","b",7,"phosphorus_H2O",4.57
"bx04","b",7,"potassium_H2O",11.43
"bx04","b",7,"calcium_H2O",58.87
"bx04","b",7,"magnesium_H2O",6.71
"bx04","b",7,"iron_H2O",8.518
"bx04","b",7,"phosphorus_AAE",26.19
"bx04","b",7,"potassium_AAE",58.93
"bx04","b",7,"magnesium_AAE",77.8
"bx04","b",7,"manganese_AAE",200
"bx04","b",7,"boron_AAE",0.1
"bx04","b",7,"copper_AAE",3.5
"bx04","b",7,"iron_AAE",173
"bx04","b",7,"iron_HNO3",13833.71
